PLT_CN,PDSI_ATA_bin
1.45248E+13,2
1.45248E+13,3
1.45252E+13,6
1.45252E+13,5
1.45253E+13,5
1.45254E+13,5
1.45255E+13,6
1.45256E+13,3
1.45257E+13,4
1.4526E+13,3
1.45261E+13,4
1.45277E+13,1
1.45278E+13,1
1.45278E+13,2
1.45281E+13,4
1.45281E+13,6
1.45282E+13,5
1.45282E+13,5
1.45282E+13,8
1.45282E+13,8
1.45282E+13,5
1.45282E+13,5
1.45282E+13,5
1.45282E+13,5
1.45282E+13,4
1.45282E+13,4
1.45283E+13,6
1.45283E+13,6
1.45285E+13,7
1.45312E+13,2
1.45312E+13,1
1.45312E+13,1
1.45312E+13,2
1.45313E+13,1
1.45313E+13,1
1.45313E+13,1
1.45313E+13,1
1.45313E+13,1
1.45313E+13,2
1.45313E+13,1
1.45313E+13,1
1.45314E+13,1
1.45314E+13,1
1.45314E+13,1
1.45314E+13,2
1.45314E+13,1
1.45315E+13,2
1.45315E+13,1
1.45315E+13,2
1.45315E+13,2
1.45315E+13,1
1.45315E+13,1
1.45316E+13,1
1.45316E+13,1
1.45316E+13,1
1.45316E+13,1
1.45316E+13,1
1.45316E+13,1
1.45316E+13,1
1.45316E+13,1
1.45316E+13,1
1.45316E+13,2
1.45316E+13,1
1.45317E+13,1
1.45317E+13,2
1.45317E+13,1
1.45317E+13,1
1.45317E+13,1
1.45317E+13,1
1.45317E+13,1
1.45317E+13,1
1.45318E+13,2
1.45318E+13,1
1.45318E+13,1
1.45318E+13,1
1.45318E+13,1
1.45318E+13,1
1.45318E+13,1
1.45318E+13,2
1.45318E+13,1
1.45318E+13,1
1.45318E+13,1
1.45318E+13,1
1.45318E+13,2
1.45318E+13,2
1.45318E+13,2
1.45318E+13,1
1.45318E+13,1
1.45318E+13,1
1.45318E+13,1
1.45319E+13,1
1.45319E+13,1
1.45319E+13,1
1.45319E+13,1
1.45319E+13,1
1.45319E+13,1
1.45319E+13,2
1.45319E+13,1
1.45319E+13,1
1.45319E+13,1
1.4532E+13,2
1.4532E+13,2
1.4532E+13,2
1.4532E+13,1
1.4532E+13,1
1.4532E+13,1
1.45321E+13,1
1.45321E+13,1
1.45321E+13,1
1.45321E+13,1
1.45321E+13,2
1.45321E+13,1
1.45321E+13,2
1.45321E+13,2
1.45321E+13,2
1.45321E+13,2
1.45321E+13,2
1.45321E+13,1
1.45321E+13,1
1.45321E+13,1
1.45322E+13,1
1.45322E+13,1
1.45322E+13,1
1.45322E+13,1
1.45322E+13,1
1.45322E+13,1
1.45322E+13,1
1.45322E+13,1
1.45322E+13,1
1.45323E+13,2
1.45323E+13,2
1.45323E+13,2
1.45323E+13,2
1.45323E+13,1
1.45323E+13,2
1.45323E+13,2
1.45323E+13,2
1.45323E+13,1
1.45323E+13,1
1.45324E+13,1
1.56506E+13,2
1.56506E+13,3
1.56507E+13,2
1.56507E+13,2
1.56507E+13,2
1.56507E+13,2
1.56507E+13,2
1.56508E+13,3
1.56508E+13,2
1.56508E+13,2
1.56508E+13,2
1.56508E+13,2
1.56508E+13,2
1.56509E+13,3
1.5651E+13,2
1.5651E+13,2
1.5651E+13,2
1.56511E+13,3
1.56511E+13,2
1.56512E+13,2
1.56512E+13,2
1.56513E+13,2
1.56513E+13,2
1.56513E+13,2
1.56514E+13,2
1.56514E+13,2
1.56514E+13,2
1.56514E+13,2
1.56516E+13,2
1.56516E+13,2
1.56516E+13,2
1.56516E+13,2
1.56516E+13,2
1.56516E+13,2
1.56516E+13,3
1.56516E+13,2
1.56517E+13,2
1.56517E+13,2
1.56517E+13,2
1.56517E+13,2
1.56517E+13,2
1.56517E+13,2
1.56517E+13,2
1.56518E+13,2
1.56662E+13,1
1.56662E+13,1
1.56662E+13,1
1.56662E+13,2
1.56663E+13,1
1.56663E+13,1
1.56664E+13,1
1.56664E+13,1
1.56665E+13,1
1.56665E+13,1
1.56665E+13,1
1.56665E+13,1
1.56665E+13,1
1.56666E+13,1
1.56666E+13,1
1.56666E+13,1
1.56667E+13,1
1.56667E+13,1
1.56667E+13,1
